Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,All,60/40,LR,"Lbfgs solver, large C",No,No,72.61294261294262,0.47184575160860465
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,Yes,72.31036882393876,0.6341975355120819
Spanish,All,70/30,Naive Bayes,Multinomial,Yes,No,72.15590522698498,0.7181491422751749
Spanish,All,70/30,Naive Bayes,Multinomial,No,Yes,71.6293866189482,0.9105534955599286
Spanish,All,70/30,Naive Bayes,Multinomial,No,No,71.98950985711701,0.7450145699518934
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,Yes,70.95238095238095,0.7317735629582275
Spanish,All,70/30,Naive Bayes,Bernoulli,Yes,No,71.4514378730331,0.7490377397707918
Spanish,All,70/30,Naive Bayes,Bernoulli,No,Yes,71.15319614275774,0.9754654922326715
Spanish,All,70/30,Naive Bayes,Bernoulli,No,No,71.51383613673359,0.6757489684077599
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,Yes,70.12724922954568,1.0718207364892431
Spanish,All,70/30,SVM,"Linear kernel, small C",Yes,No,67.0935069632845,0.7638269982846304
Spanish,All,70/30,SVM,"Linear kernel, small C",No,Yes,74.35828611193955,0.41559886280243935
Spanish,All,70/30,SVM,"Linear kernel, small C",No,No,74.31994935793091,0.568080803981025
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,Yes,74.0302216920171,0.7298513813267719
Spanish,All,70/30,SVM,"Linear kernel, standard C",Yes,No,74.17435340929643,0.554756071989316
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,Yes,71.59658017695595,0.6725410489618132
Spanish,All,70/30,SVM,"Linear kernel, standard C",No,No,71.95695424127328,0.6494470652557902
Spanish,All,70/30,SVM,"Linear kernel, large C",Yes,Yes,70.08251317228353,0.7075335510638179
Spanish,All,70/30,SVM,"Linear kernel, large C",Yes,No,70.38162416350154,0.5564918491558194
Spanish,All,70/30,SVM,"Linear kernel, large C",No,Yes,69.80912615568148,0.8088840818031252
Spanish,All,70/30,SVM,"Linear kernel, large C",No,No,69.98191354675347,0.58905144287314
Spanish,All,70/30,SVM,"RBF kernel, small C",Yes,Yes,56.97087185604931,2.750551462934499
Spanish,All,70/30,SVM,"RBF kernel, small C",Yes,No,57.93543136190993,0.7480069736216758
Spanish,All,70/30,SVM,"RBF kernel, small C",No,Yes,65.7291977333731,1.113694411718786
Spanish,All,70/30,SVM,"RBF kernel, small C",No,No,64.0197142340387,1.013239868037662
Spanish,All,70/30,SVM,"RBF kernel, standard C",Yes,Yes,74.89313052987374,0.6861130834047173
Spanish,All,70/30,SVM,"RBF kernel, standard C",Yes,No,74.78205823837945,0.7546274181553996
Spanish,All,70/30,SVM,"RBF kernel, standard C",No,Yes,74.48454120687941,0.6071696381693688
Spanish,All,70/30,SVM,"RBF kernel, standard C",No,No,74.8010490142883,0.6628976310815603
Spanish,All,70/30,SVM,"RBF kernel, large C",Yes,Yes,74.55313649468138,0.7434250811430066
Spanish,All,70/30,SVM,"RBF kernel, large C",Yes,No,74.95659251220836,0.5060148638495153
Spanish,All,70/30,SVM,"RBF kernel, large C",No,Yes,73.91490207774133,0.6570389792554783
Spanish,All,70/30,SVM,"RBF kernel, large C",No,No,74.11466811358292,0.5770371316477344
Spanish,All,70/30,LR,"Liblinear solver, small C",Yes,Yes,72.34814593896013,0.9435117809338404
Spanish,All,70/30,LR,"Liblinear solver, small C",Yes,No,69.56140350877193,0.7832684738294002
Spanish,All,70/30,LR,"Liblinear solver, small C",No,Yes,73.79262352122477,0.579206944299791
Spanish,All,70/30,LR,"Liblinear solver, small C",No,No,73.98896726351963,0.7860243325320314
Spanish,All,70/30,LR,"Liblinear solver, standard C",Yes,Yes,74.4686350531862,0.7197907644751529
Spanish,All,70/30,LR,"Liblinear solver, standard C",Yes,No,74.8290830168204,0.7533033794609403
Spanish,All,70/30,LR,"Liblinear solver, standard C",No,Yes,74.15150611392782,0.73142419697453
Spanish,All,70/30,LR,"Liblinear solver, standard C",No,No,74.29101103273648,0.5029022692757221
Spanish,All,70/30,LR,"Liblinear solver, large C",Yes,Yes,73.44964708221494,0.4729676877017015
Spanish,All,70/30,LR,"Liblinear solver, large C",Yes,No,73.92656899981914,0.717357070974344
Spanish,All,70/30,LR,"Liblinear solver, large C",No,Yes,72.57381449448255,0.7499937443954251
Spanish,All,70/30,LR,"Liblinear solver, large C",No,No,72.83143425574245,0.657461641374191
Spanish,All,70/30,LR,"Lbfgs solver, small C",Yes,Yes,72.46843622626504,0.7208042089349842
Spanish,All,70/30,LR,"Lbfgs solver, small C",Yes,No,69.26116838487972,0.8656461028189139
Spanish,All,70/30,LR,"Lbfgs solver, small C",No,Yes,74.05209265334527,0.6434066351717607
Spanish,All,70/30,LR,"Lbfgs solver, small C",No,No,74.106529209622,0.6099210837206679
Spanish,All,70/30,LR,"Lbfgs solver, standard C",Yes,Yes,74.56804851376876,0.5114916742533151
Spanish,All,70/30,LR,"Lbfgs solver, standard C",Yes,No,74.70157352143245,0.5875422108115002
Spanish,All,70/30,LR,"Lbfgs solver, standard C",No,Yes,74.0729694800676,0.6244329006480728
Spanish,All,70/30,LR,"Lbfgs solver, standard C",No,No,74.23132573702297,0.5848723377668076
Spanish,All,70/30,LR,"Lbfgs solver, large C",Yes,Yes,73.46257083209066,0.619257235510592
Spanish,All,70/30,LR,"Lbfgs solver, large C",Yes,No,73.71134020618557,0.5026254655511101
Spanish,All,70/30,LR,"Lbfgs solver, large C",No,Yes,72.5330549756437,0.63905389970868
Spanish,All,70/30,LR,"Lbfgs solver, large C",No,No,72.94537891119552,0.618310603002007
Spanish,All,80/20,Naive Bayes,Multinomial,Yes,Yes,72.32856290995826,0.8215402558414722
Spanish,All,80/20,Naive Bayes,Multinomial,Yes,No,72.5613892280559,0.9320394098907282
Spanish,All,80/20,Naive Bayes,Multinomial,No,Yes,72.08407871198568,0.7897336886645542
Spanish,All,80/20,Naive Bayes,Multinomial,No,No,72.00922534255868,0.7995527261118273
Spanish,All,80/20,Naive Bayes,Bernoulli,Yes,Yes,71.56678592725105,0.9817021213711746
Spanish,All,80/20,Naive Bayes,Bernoulli,Yes,No,71.39872473205807,1.072140150461787
Spanish,All,80/20,Naive Bayes,Bernoulli,No,Yes,71.51013714967203,0.8564406419818871
